example_id,protein_id,affinity_record,source_benchmark,benchmark_split,measurement_family,normalization_provenance
10gs,10gs,Ki=0.4uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
184l,184l,Kd=19uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
185l,185l,Kd=290uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
186l,186l,Kd=14uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
187l,187l,Kd=422uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
188l,188l,Kd=470uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1a1e,1a1e,Kd=1uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1a28,1a28,Ki=5.1nM,lp_pdbbind_refined,val,Ki,lp_pdbbind_refined_compact_record
1a4k,1a4k,Kd=0.01uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1a4r,1a4r,Kd=0.22uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1a4w,1a4w,Ki=1.2uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1a69,1a69,Ki=5uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1a94,1a94,Ki=14nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1a99,1a99,Kd=2uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1a9m,1a9m,Ki=119nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1a9q,1a9q,Kd=0.68uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1aaq,1aaq,Ki=4.0nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1add,1add,Ki=0.18uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1adl,1adl,Kd=4.4uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1ado,1ado,Kd=1uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1afk,1afk,Ki=240nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1afl,1afl,Ki=520nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ai4,1ai4,Ki=3.13mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ai5,1ai5,Ki=0.189mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ai7,1ai7,Ki=0.082mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1aid,1aid,Ki=15uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1aj7,1aj7,Kd=135uM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1ajn,1ajn,Ki=2.32mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ajp,1ajp,Ki=5.85mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ajq,1ajq,Ki=0.049mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ajv,1ajv,Ki=19.1nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ajx,1ajx,Ki=12.2nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1alw,1alw,Ki=0.3uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1amk,1amk,Ki=50uM,lp_pdbbind_refined,unspecified,Ki,lp_pdbbind_refined_compact_record
1amw,1amw,Kd=29uM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1apv,1apv,Ki=1nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1atl,1atl,Ki=0.52uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1atr,1atr,Kd=110nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1avn,1avn,Kd=0.125mM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1ax0,1ax0,Kd=0.746mM,lp_pdbbind_refined,unspecified,Kd,lp_pdbbind_refined_compact_record
1azm,1azm,Ki=0.8uM,lp_pdbbind_refined,val,Ki,lp_pdbbind_refined_compact_record
1b05,1b05,Kd=75nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b0h,1b0h,Kd=0.20uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b1h,1b1h,Kd=0.093uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b2h,1b2h,Kd=29uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b32,1b32,Kd=79nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b38,1b38,Kd=0.254uM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1b3f,1b3f,Kd=130nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b3g,1b3g,Kd=200nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b3h,1b3h,Kd=0.62uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b3l,1b3l,Kd=1300nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b40,1b40,Kd=53nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b46,1b46,Kd=5200nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
